RELATÓRIO DE EXTRAÇÃO — EXTRACTOR INTELIGENTE
================================================================================
Mobile.Suit.Z.Gundam.S01E31_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E31_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E32_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E32_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E33_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E33_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E34_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E34_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E35_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E35_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E36_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E36_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E37_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E37_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E38_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E38_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E39_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E39_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E40_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E40_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E41_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E41_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E42_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E42_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E43_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E43_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E44_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E44_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E45_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E45_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E46_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E46_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E47_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E47_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E48_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E48_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E49_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E49_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E50_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E50_PTBR_ENG.ass
