[10:18:48.648] [DEBUG   ] Arquivo de configuração gerado com sucesso: remux_config_2026-06-19_10-18-48.txt
[10:18:48.649] [DEBUG   ] Testando conectividade e acesso ao binário mkvmerge...
[10:18:48.682] [INFO    ] SUCESSO: mkvmerge funcional: mkvmerge v99.0 ('Buka') 64-bit
[10:18:48.682] [DEBUG   ] Validando caminhos de diretórios locais...
[10:18:48.683] [INFO    ] SUCESSO: [OK] Toda a infraestrutura e permissões foram validadas com sucesso!
[10:18:48.683] [DEBUG   ] Escaneando diretório: E:\animes\DETONATOR ORGUN
[10:18:48.683] [INFO    ] Encontrados 3 arquivos de vídeo com extensão .mkv.
[10:18:48.683] [DEBUG   ] Iniciando verificação de correspondência na pasta de legendas...
[10:18:48.683] [WARNING ]   Legenda ausente para: [AnimesAmrita] Detonador Orgun 01.mkv (esperado: [AnimesAmrita] Detonador Orgun 01_PTBR.ass)
[10:18:48.683] [WARNING ]   Legenda ausente para: [AnimesAmrita] Detonador Orgun 02.mkv (esperado: [AnimesAmrita] Detonador Orgun 02_PTBR.ass)
[10:18:48.684] [WARNING ]   Legenda ausente para: [AnimesAmrita] Detonador Orgun 03.mkv (esperado: [AnimesAmrita] Detonador Orgun 03_PTBR.ass)
[10:18:48.684] [WARNING ] A fila de processamento está vazia. Nenhuma ação será tomada.
[10:18:48.684] [DEBUG   ] Dicionário estatístico persistido: remux_stats_2026-06-19_10-18-48.json
