[23:12:46.234] [DEBUG   ] Arquivo de configuração gerado com sucesso: remux_config_2026-06-18_23-12-46.txt
[23:12:46.235] [DEBUG   ] Testando conectividade e acesso ao binário mkvmerge...
[23:12:46.272] [INFO    ] SUCESSO: mkvmerge funcional: mkvmerge v99.0 ('Buka') 64-bit
[23:12:46.272] [DEBUG   ] Validando caminhos de diretórios locais...
[23:12:46.272] [INFO    ] SUCESSO: [OK] Toda a infraestrutura e permissões foram validadas com sucesso!
[23:12:46.287] [DEBUG   ] Escaneando diretório: C:\animes\Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet
[23:12:46.288] [INFO    ] Encontrados 13 arquivos de vídeo com extensão .mkv.
[23:12:46.288] [DEBUG   ] Iniciando verificação de correspondência na pasta de legendas...
[23:12:46.288] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E01 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E01 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.288] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E02 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E02 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.288] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E03 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E03 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.288] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E04 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E04 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.288] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E05 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E05 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.289] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E06 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E06 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.289] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E07 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E07 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.289] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E08 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E08 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.289] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E09 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E09 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.289] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E10 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E10 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.289] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E11 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E11 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.290] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E12 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E12 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.290] [WARNING ]   Legenda ausente para: Mobile Suit Gundam The Origin Advent of the Red Comet S01E13 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR.mkv (esperado: Mobile Suit Gundam The Origin Advent of the Red Comet S01E13 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws_PTBR_PTBR.ass)
[23:12:46.290] [WARNING ] A fila de processamento está vazia. Nenhuma ação será tomada.
[23:12:46.290] [DEBUG   ] Dicionário estatístico persistido: remux_stats_2026-06-18_23-12-46.json
