[23:04:45.392] [DEBUG   ] Arquivo de configuração gerado com sucesso: remux_config_2026-06-16_23-04-45.txt
[23:04:45.393] [DEBUG   ] Testando conectividade e acesso ao binário mkvmerge...
[23:04:45.471] [INFO    ] SUCESSO: mkvmerge funcional: mkvmerge v99.0 ('Buka') 64-bit
[23:04:45.471] [DEBUG   ] Validando caminhos de diretórios locais...
[23:04:45.471] [INFO    ] SUCESSO: [OK] Toda a infraestrutura e permissões foram validadas com sucesso!
[23:04:45.472] [DEBUG   ] Escaneando diretório: C:\TRACKER-ANIMES\animes\Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet
[23:04:45.472] [INFO    ] Encontrados 13 arquivos de vídeo com extensão .mkv.
[23:04:45.472] [DEBUG   ] Iniciando verificação de correspondência na pasta de legendas...
[23:04:45.473] [WARNING ]   Legenda ausente para: [POPGO][Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet][01][1080p][HEVC][Webrip](E1AED70B)_PTBR.mkv (esperado: [POPGO][Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet][01][1080p][HEVC][Webrip](E1AED70B)_PTBR_PTBR.ass)
[23:04:45.473] [WARNING ]   Legenda ausente para: [POPGO][Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet][02][1080p][HEVC][Webrip](2CEC8E71)_PTBR.mkv (esperado: [POPGO][Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet][02][1080p][HEVC][Webrip](2CEC8E71)_PTBR_PTBR.ass)
[23:04:45.473] [WARNING ]   Legenda ausente para: [POPGO][Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet][03][1080p][HEVC][Webrip](4F2B2BFA)_PTBR.mkv (esperado: [POPGO][Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet][03][1080p][HEVC][Webrip](4F2B2BFA)_PTBR_PTBR.ass)
[23:04:45.473] [WARNING ]   Legenda ausente para: [POPGO][Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet][04][1080p][HEVC][Webrip](5FE1652B)_PTBR.mkv (esperado: [POPGO][Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet][04][1080p][HEVC][Webrip](5FE1652B)_PTBR_PTBR.ass)
[23:04:45.473] [WARNING ]   Legenda ausente para: [POPGO][Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet][05][1080p][HEVC][Webrip](106FCAA0)_PTBR.mkv (esperado: [POPGO][Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet][05][1080p][HEVC][Webrip](106FCAA0)_PTBR_PTBR.ass)
[23:04:45.474] [WARNING ]   Legenda ausente para: [POPGO][Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet][06][1080p][HEVC][Webrip](813F24D4)_PTBR.mkv (esperado: [POPGO][Mobile_Suit_Gundam_The_Origin_Advent_of_the_Red_Comet][06][1080p][HEVC][Webrip](813F24D4)_PTBR_PTBR.ass)
